# 万家基金乔良路演
# detected_language=zh probability=1.000
# duration_seconds=3340.1

[000013.0-000023.0] 非常感谢各位领导百忙之中来参加我们这边的这么一个路演。
[001441.1-001443.1] 有 就是長期來講
[001443.1-001448.1] 就比如說我們繼續回測長期年化收益大概是四個年左右
[001448.1-001455.1] 但是呢就是有個點就是說他本身的超收益來源不是太穩定
[001455.1-001456.1] 這個其實很好理解
[001456.1-001458.1] 因為我們其實剛發一件事情
[001458.1-001487.4] 这件事情本身其实我们并没有所谓的量化,是没有任何所谓的量化的奥法的加成,它的本质其实是一个工程,我们优选,当然你也可以说是量化基金这件事情带有一定的,但是跟我们平常所做的量化是有点差畏差异的,就是因为本质上奥马尼本身做的什么,其实它是来做一个动量,所以换句话来讲就是我永远写当下或者我永远去追近期表现比较好的类型的这么一个基金,
[001487.4-001488.4] 他的一个身上风格
[001488.7-001489.1] 对吧
[001489.1-001490.4] 他表现好的原因是什么
[001490.4-001492.0] 是因为他跟大家的风格很气候
[001492.4-001493.4] 那么通过这个模式呢
[001493.4-001495.8] 就是我永远去追认这个人
[001495.8-001499.1] 他将就是在追寻大家里的动量的一个变化
[001499.1-001499.6] 对吧
[001499.6-001502.7] 那么这种肯定是说当趋势出来的时候
[001502.7-001505.5] 就是比如说某一个风格持续表现很好的时候
[001505.5-001506.6] 他会越来越强
[001506.6-001507.6] 他会想的居动
[001507.6-001508.1] 对吧
[001508.1-001511.6] 那反过来如果说当没有很明显的趋势的时候
[001511.6-001513.8] 或者说甚至趋势反的比如说23年
[001513.8-001514.4] 对吧
[001514.4-001516.8] 这种他就是一天为单位进行一个轮动的时候
[001516.8-001520.7] 那其实你的Alfa1可能就会渗破车币
[001520.7-001522.5] 那个叫做八卧我们要是会跑输
[001522.5-001523.8] 它会更启制一点
[001523.8-001525.4] 它会更敏感 更启制一点
[001525.4-001526.9] 它可能就来回来回搞
[001526.9-001527.5] 对吧
[001527.5-001529.5] 所以这就是刚才讲的
[001529.5-001531.4] 就是说纯粹的这个东西本身
[001531.4-001532.7] 对我再举个例子
[001532.7-001534.5] 就是比如说在今年上面来讲
[001534.5-001536.5] Alfa1其实整体表现比较好
[001536.5-001538.2] 这一个方面是因为它在刚才讲的
[001538.2-001540.0] 风格的这么一个趋势的一个集中
[001540.0-001541.5] 另外一个就是说
[001541.5-001543.0] 在行业上面
[001543.0-001546.0] 我们自己看到大概在4月中旬的时候
[001546.0-001551.5] 就是我们选穿了这一波机油基金里面的整体的电子的行业占比就是大概38
[001551.5-001552.7] 就接近40%了
[001552.7-001554.6] 所以并不是到6月份
[001554.6-001556.2] 就是当然6月份大家也是后面看到了
[001556.2-001558.8] 就是我们自己选了40%
[001558.8-001559.7] 但是呢
[001559.7-001560.7] 我刚才忘了讲一点
[001560.7-001562.4] 就是我们在Alfa2做悬谷的时候
[001562.4-001564.9] 我们是通过量化的方法全上悬谷
[001564.9-001565.6] 但是呢
[001565.6-001567.4] 为了保证长期的一个胜率
[001567.4-001569.4] 我们会有一些分散化的一些限制
[001569.4-001571.6] 就是怎么去跟Alfa1关联
[001571.6-001573.1] 就是我们在悬谷的时候
[001573.1-001575.2] 我们的行业风格向前面对齐
[001575.2-001579.9] 比如说前面的行业配置是比如说20个点电子15点的东西
[001579.9-001581.4] 10个点的比如新能源
[001581.4-001581.9] 对吧
[001581.9-001582.7] 我们选股的时候
[001582.7-001584.9] 我们也尽量也向这个行业上去靠齐
[001584.9-001585.9] 但是呢
[001585.9-001588.3] 为了保证就是说
[001588.3-001590.0] 当市场困险反转的时候
[001590.0-001590.4] 对吧
[001590.4-001592.0] 不会那么极致
[001592.0-001593.9] 所以我们会有一个分散化的限制
[001593.9-001596.9] 就是当个股票上限会是1.5%
[001596.9-001600.8] 然后当个行业我们设个20%的这么一个上限
[001600.8-001601.3] 对吧
[001601.3-001602.3] 所以换句话来讲
[001602.3-001606.8] 就是说虽然我们跟踪的Alpha1在4月中旬
[001606.8-001608.0] 的时候开始
[001608.0-001611.8] 其实它的电子已经到了接近4个点
[001611.8-001616.4] 但是我们的原镇耗热线实际上在整个二季度
[001616.4-001618.9] 它的电子虽然一直低到基本上
[001618.9-001620.1] 也就二十个点出的
[001620.1-001622.1] 而不会到更高
[001622.1-001624.0] 原因就是我们的一个线
[001624.0-001626.4] 当然这个东西本身是个双刃剑
[001626.4-001627.5] 因为你有这个线
[001627.5-001629.0] 所以你上半年
[001629.0-001630.4] 原镇大概是热线
[001630.4-001632.0] 它都接近50个点
[001632.0-001661.0] 如果没有这个限制的话,你可能能干到比如说,这个六七十点,就是会收益控高,反过来,有了一个限制,所以你七月份这锅回撤相对来说,回忆稍微稀,就是相对来说,就是二十个点的回撤,如果没有这些限制的话,你可能回撤就是四十个点,三十个点四十个点,所以它是一个隐归统源的概念,就是相当于说你有更多的约束的话,会让整个的这个,呃,就是更均衡,对吧,但极致的时候会少赚钱,但是在亏的时候有省费钱,就是这么一个,一个利益。
[001662.0-001667.4] 你可能今年上半年表演的业绩策略优秀
[001667.4-001669.6] 可能就7月份回社也是相对大一些
[001669.6-001671.4] 是不是这个基金选择
[001671.4-001673.6] 其实这样就是关于您说的很对
[001673.6-001674.9] 就是7月份回社这个事情
[001674.9-001678.1] 我觉得要看怎么理解这个事情
[001678.1-001681.5] 就是说我们7月份大概原侦瑞显
[001681.5-001683.7] 7月份的手艺大概一个是付到21
[001683.7-001684.6] 一个是付到22
[001684.6-001685.2] 对吧
[001685.2-001687.1] 那我们也做过一个副盘
[001687.1-001689.3] 就是你把上半年到6月底
[001689.3-001690.9] 由上半年到6月底的时候
[001690.9-001695.5] 我们一个是48个点一个是46点的绝对收益
[001695.5-001700.2] 那我们把因为因为这个东西市场上现在风格很多啊
[001700.2-001702.0] 所以我们就做一个很简单的事情
[001702.0-001704.4] 我们就把上半年就是前半年收益
[001704.4-001707.2] 在五十四十五到五十之间
[001707.2-001709.4] 所有的这种权益基金全部拉出来
[001709.4-001710.4] 就我不管你怎么做的
[001710.4-001712.3] 反正只要当然指数除外
[001712.3-001715.6] 就是这种权益类型的基金全部把它拎出来
[001715.6-001716.3] 拎出来之后呢
[001716.3-001719.2] 然后我们看他七月份的一个回收情况
[001719.2-001723.1] 那我们可以告诉大家收益从45到50之间的这些基金
[001723.1-001725.8] 它的7月份的回撤中位数
[001725.8-001727.0] 有几百个基金
[001727.0-001729.0] 中位数回撤多少?33个零
[001730.0-001732.0] 然后前四分之一
[001732.0-001735.2] 就是比较好的前四分之一的回撤
[001735.2-001736.2] 付的23个零
[001736.2-001738.0] 所以我们虽然说上半年
[001738.0-001740.9] 就跟我们收益差不多的这些基金
[001740.9-001742.2] 大概7月份我们回撤
[001742.2-001745.4] 大概能排在前四分之一吧
[001745.4-001747.0] 或者前百分之二十多位左右
[001747.0-001749.0] 所以我觉得这样比才更不一样
[001749.0-001752.6] 否则的话 全市场基金其实今年上半的有好多 可能没挣钱
[001752.6-001755.2] 比如一个红利基金 上半年肯定是亏的
[001755.2-001756.6] 但是7月份它还涨了
[001756.6-001760.2] 这个时候你去说 你看7月份和20个年 那个基金还涨了两个年
[001760.2-001762.2] 这么比肯定就不太合适的 对吧
[001762.2-001765.4] 包括我们如果就看YED的话 到8月底的话
[001765.4-001769.2] 我们20多位的收益 从年收到现在的话
[001769.2-001773.4] 对全市场大概引上10% 15分位左右
[001773.4-001775.6] 就前百分之15分位左右 是这么一个概念
[001775.6-001777.2] 可能一句赢贵同源嘛
[001777.2-001779.2] 对吧这不可能说你挣钱的时候在
[001779.2-001780.1] 然后对吧
[001780.1-001783.1] 亏钱的时候你就完全的这个不在
[001783.1-001784.0] 这个也不太合理
[001784.0-001786.7] 只是说同样收益类型的基金来说的话
[001786.7-001788.9] 我们的这个回录其实也不算不上
[001810.8-001811.4] 对
[001812.1-001812.7] 就说
[001813.2-001814.1] 没事你接受
[001814.1-001817.5] 你你这个理解很对呀
[001817.5-001822.1] 就是说我们其实或者我简单接下来我们做这个过程
[001822.1-001824.9] 其实我们整个做这个做过程
[001824.9-001829.6] 其实跟我们做指头通墙是基本上大的方向是一样的
[001829.6-001830.0] 对吧
[001830.0-001831.3] 我复排一下
[001831.3-001833.7] 我们做比如说500指增怎么做
[001833.7-001836.9] 这是我们第一个中中500拿出来做我们的基准
[001836.9-001837.5] 对吧
[001837.5-001840.9] 然后第二步我们有我们Alpha模型
[001840.9-001841.5] 抽屏模型
[001841.5-001842.4] 这个都是一样的
[001842.4-001845.2] 所有的主动量、股排量都一样
[001845.2-001849.9] 我们的二方模型、风行模型
[001849.9-001851.3] 然后第三步就是说
[001851.3-001854.9] 我们做一个叫优化
[001854.9-001858.9] 就是通过我们有一个软件的销码进行一个优化
[001858.9-001860.9] 那这优化在500指踪的过程中
[001860.9-001861.6] 我们优化的时候
[001861.6-001864.2] 我们会有一系列的残属设置
[001864.2-001865.7] 就比如说
[001865.7-001868.4] 残酷与500里面的行业
[001868.4-001870.5] 杀下篇里不超过2
[001870.5-001875.8] 然后这个分隔天理设为比如说零点二的标准差
[001875.8-001877.7] 分隔就是指定你发绕的分隔因子
[001877.7-001879.2] 就要包括大小盘
[001879.2-001880.4] 包括成长价值
[001880.4-001882.4] 包括beta 中量等等这些东西
[001882.4-001884.5] 那么除此之外
[001884.5-001885.5] 除了行业分隔之外
[001885.5-001887.6] 我们还会有其他的比如说个股限制
[001887.6-001888.5] 比如我们个股层面
[001888.5-001890.4] 我们会有一个个股的偏差
[001890.4-001891.7] 比如说不超过千六
[001891.7-001895.5] 也就是说相对成分股不超过千六的这么一个偏差
[001895.5-001898.7] 同时你的成分股不低于比如说百分之八十二
[001898.7-001901.5] 所以我们做无败只能会有这一系列的限制
[001901.5-001905.3] 然后最后的这个组合优化是在你满足了所有的这些
[001905.3-001907.5] 刚才讲的这一系列限制之后
[001907.5-001911.3] 它基于你的各股的alpha以及风险过行
[001911.3-001915.3] 然后最后寻找出来一个与其受力最高的这么一个组合
[001915.3-001918.1] 所以组合优化的目的它实际上本身是个
[001918.1-001921.1] 数学的这么一个求解的一个过程
[001921.1-001926.1] 就是相对于满足一系列条件之后最终寻找某一个目标能实现的一个点
[001926.1-001929.3] 所以这就是我们整个的一个做指增的过程
[001929.3-001930.6] 那从来的道理做这个呢
[001930.6-001931.9] 就是跟指增是一样的
[001931.9-001932.7] 只是说第一个
[001932.7-001935.3] 我们的基准就不再是公众500
[001935.3-001938.1] 而是用我们自己传出来的这个股票组合
[001938.1-001938.5] 对吧
[001938.5-001939.7] 就是这个股票组合代表的
[001939.7-001942.3] 就是刚才讲的这三百个近期
[001942.3-001944.9] 基督基金的整体的一个平均配置
[001944.9-001945.6] 对吧
[001945.6-001947.0] 这个是我们的一个基准
[001947.0-001947.6] 那么第二步
[001947.6-001949.9] 我们做股票组合优化的时候
[001949.9-001951.9] 我们的行业
[001951.9-001952.9] 风格也一样
[001952.9-001954.7] 我们行业比如说偏差
[001954.7-001959.7] 13%上下了三年内风格是在比如说零点三个标准差
[001960.1-001966.4] 除了这两个限制之外 我们在个股层面就没有所谓的这个什么成分股啊 或者是说这个
[001967.5-001970.2] 就是什么前六就是刚讲的这个个股的这个
[001971.1-001974.5] 绝对值的偏差 但是他会有两条新的限制
[001975.1-001978.4] 什么新的限制的第一个个股的绝对仓位不超过155
[001978.4-001983.9] 然后呢 个股就是整体的这个组合的单个行业上限20
[001984.5-001988.5] 对吧 而且这个绝对值得这个骗证 它的优先级别是高于
[001989.2-001991.8] 刚才讲的这个行业风格的这么一个相似度的
[001992.4-001997.8] 就是什么意思呢 就比如说以刚才电子行业为电子 比如说2万1这个组合有40点电子
[001998.4-002002.9] 但是我们在做优化的时候 我们这个20个点的这个配置它是更高优先
[002003.2-002007.4] 所以它会先满足20个点 那这样的话 很明显的电子上面 只没办法就是
[002007.4-002008.8] 政府3那个就没法拿到了
[002008.8-002010.8] 那所以他就有时候会冲突
[002010.8-002012.1] 如果产生冲突的话
[002012.1-002014.8] 就是绝对的这个这个值
[002014.8-002015.7] 优点级会更高
[002015.7-002016.9] 包括1.5 包括20
[002016.9-002017.1] 对吧
[002017.1-002018.3] 就分散化的这个
[002018.3-002020.1] 分控的这个优点级更高
[002020.1-002021.9] 然后如果这个能满足的情况下面
[002021.9-002023.9] 那比如说通信可能在
[002023.9-002025.7] 职丧里面就只有10个点
[002025.7-002026.1] 对吧
[002026.1-002027.1] 那么我们在这个里面
[002027.1-002028.8] 那就是在13到7之间
[002028.8-002030.1] 这个是可以去满足的
[002030.1-002031.3] 就是这么一个概念
[002031.3-002031.7] 对吧
[002031.7-002032.7] 所以通过这个模式
[002032.7-002033.7] 就我们能保证
[002033.7-002036.6] 就说我们在跟踪他的行业风格
[002036.6-002038.8] 比较对齐的同时我们还能保持一天的话
[002038.8-002040.6] 所以是这么来的一个过程
[002040.6-002049.9] 我们实际做的过程中
[002049.9-002051.7] 我们是周度差不多周度吧
[002051.7-002053.3] 就是因为我们实际在换的过程中
[002053.3-002055.9] 它也不是一个比如说固定时间的概念
[002055.9-002058.9] 比如说我们每个周一就换这个组合和周二换那个组合
[002058.9-002060.7] 它不是一个固定时间的概念
[002060.7-002062.7] 它更多它的来源其实是来自于
[002062.7-002064.7] 就说我们做任何的策略
[002064.7-002068.1] 就是我们有一个所谓的这个理想组合
[002068.1-002068.5] 对吧
[002068.5-002069.9] 因为我们的这个您会发现
[002069.9-002072.3] 就是说第一个我前面讲的
[002072.3-002074.4] 那就我们的alpha1他其实每天会变
[002074.4-002078.7] 因为我们优选基金三百个基金每天会去做一个事情
[002078.7-002079.1] 同时呢
[002079.1-002080.8] 我们去估算尺导也是要去做
[002080.8-002081.0] 也就是说
[002081.0-002083.5] alpha1本身领域上每天都会可以变
[002083.5-002083.9] 对吧
[002083.9-002085.5] 只是可能变化不一定很大
[002085.5-002086.6] 从来到你alpha2
[002086.6-002090.1] 我们的量化模型量化因子底层的这些alpha他也会变
[002090.1-002091.8] 因为你的市场信息会变
[002091.8-002093.1] 量价信息会变
[002093.1-002094.6] 然后可能有些新的
[002094.6-002095.7] 比如说
[002095.7-002097.1] 颜貌啊市场情域
[002097.1-002099.7] 所以就都会带来alpha2也会改
[002099.7-002100.1] 对吧
[002100.1-002103.7] 所以你对他来讲 要不然应该要不然做个结构出来 他有个什么叫理想模型
[002103.7-002108.5] 理想模型什么意思 假设这个世界上没有换当成本
[002108.5-002112.3] 就是我随便买卖股票 没有任何成本 也没有冲击
[002112.3-002118.6] 这个成本当然也除了这个什么硬性的 比如说用金啊 樱花税之外 还包括市场资金
[002118.6-002123.3] 对吧 我假设这些都不存在的情况下面 那我们就应该换到理想的这个组合上去
[002123.3-002127.9] 但实际的情况是 我们既有用金 又有樱花税 还有市场资金
[002127.9-002132.9] 所以最后的一个换仓,它的一个核心呢就是
[002142.0-002143.0] OK,请
[002143.0-002144.0] 那个
[002154.3-002155.3] 就是用这个,对吧
[002156.3-002157.3] 报应对我刚才停掉了
[002160.0-002162.0] 对,我接着讲吧,就是说
[002162.0-002164.0] 所有核心在哪儿就在于说
[002164.0-002165.0] 我们在实际的换仓过程中
[002165.0-002166.0] 其实本质上就是
[002167.0-002170.0] 现有的石舱,像我们的这个理想石舱,一个code
[002170.0-002171.0] 当然我举个例子
[002171.0-002173.1] 因为我们的Alpha1本身
[002173.1-002175.7] 刚才讲你有它是本身我们是每天会变的
[002175.7-002179.4] 而且理论上来讲我们是没有给它算所谓的交易成分在里面
[002179.4-002183.2] 所以它的整体的腾蚊蚊就是换手是非常高的
[002183.2-002187.8] 比如Alpha1本身这个预费基金只能指出底层的这个我们算是股票组合
[002187.8-002190.8] 年化大概换手大概就在30到50倍
[002190.8-002193.1] 但是我们实际最后做交易
[002193.1-002194.4] 交易做下来的话
[002194.4-002198.2] 就是实际的基金的这么几个年华换手大概就是20倍
[002198.2-002202.9] 对吧 也就是说我们每次换其实只换了一部分 就是向他靠拢 但是不会完全过去
[002203.5-002205.8] 这里面有几个考虑 一个是我刚才讲的就是他
[002206.7-002211.1] 换手太高了 对吧 会有成本 再一个就是说本身市场它就是一个
[002211.4-002214.5] 因为要法一向的比较零米 对吧 零米的意思也就是说
[002215.4-002219.1] 如果市场它是这样的话 波动很大的话 你有时候可能会两边挡力
[002219.5-002225.9] 就是所以呢 也就是说为什么我们最后选择现在的这么一个模式就相当于如果它是这么走的话
[002225.9-002230.8] 虽然它可能是向某一个方向走,但是非常波动前进的话,你稍微慢一点
[002231.1-002234.9] 你还是往那一方向走,但是中间你可能节省很多不需要的一些坏手
[002235.2-002238.7] 当然如果说它是这样,比如说先往那边走又回来的话
[002239.0-002242.6] 那你可能是这样,就是你本身的这个损失有更小,所以是这么一个概念
[002242.8-002255.0] 市场的一个情况
[002255.2-002260.3] 那这种如果说我们知道市场费货的之后,是什么费货
[002261.1-002265.4] 是这样,就是说这个,就是说你看市场切换的,它其实费货两种
[002265.4-002269.3] 一种的就相当于说因为市场任何时候风格都在变换
[002269.3-002273.9] 但是这个氛围两种情况一种情况就属于日常
[002273.9-002276.9] 或者是说每一年都会有的这种正常的波动
[002276.9-002279.5] 这种的话基本上是大家不用太在意
[002279.5-002281.8] 还有一种的就是像今年六七月份这种
[002281.8-002284.6] 就是属于可能十几年一遇的这种
[002284.6-002286.1] 其实的这么一个风格情况
[002286.1-002289.0] 但是我个人认为就说对于前面那种
[002289.0-002290.5] 我举个例子比如说今年3月份
[002290.5-002292.8] 今年如果大家回过来今年三四月份
[002292.8-002293.8] 其实也有一个回想
[002293.8-002296.6] 就是科技,或者出现有多变化
[002296.6-002302.0] 但今年三四以后如果回调整体来说就相对于7月份这波就会缓和很多
[002302.0-002306.0] 那波科上武林虽然也跌了大概16个点,17个点
[002306.0-002308.6] 但是它的走势相对比较平滑
[002308.6-002311.0] 它们跌跌停停,跌跌停停,最美的做法
[002311.0-002315.0] 这种的话就是说我们的模型就能比较好的去喊走
[002315.0-002319.8] 因为前面我想的,我们实际上是一个偏中期的,短中期的一个字
[002319.8-002323.0] 它是有点平滑,所以你如果说是比较平滑
[002323.0-002324.5] 它是完全能够贴上去
[002324.5-002327.7] 所以我们今年三月份这一波
[002327.7-002330.0] 瑞金原侦最大货车大约有8个度点
[002330.0-002332.2] 其实跟市场上比市场上大多数的
[002332.2-002333.8] 不管做小侧类的基金货车
[002333.8-002334.6] 其实都更小一点
[002335.6-002338.8] 但是今天六七月份这一波
[002338.8-002340.8] 前面也有领导问到
[002340.8-002343.1] 就是七月份货车感觉有点大
[002343.1-002345.1] 这个原因在这一方面
[002345.1-002345.9] 就是说
[002345.9-002347.8] 我刚才讲的就是说核心
[002347.8-002350.3] 一个是侧类本身的一个情况
[002350.3-002351.7] 遇到这种旗帜的风格
[002351.7-002353.7] 7万的时候他会肯定会出一个回收
[002353.7-002354.3] 是吧
[002354.3-002356.7] 第二个就是从级别上来讲
[002356.7-002360.3] 现在6月份7月份这一波其实是属于怎么说的
[002360.3-002363.1] 我们认为是属于这种十几年一遇的
[002363.1-002365.0] 就是核弹级别的这么一个
[002365.0-002367.5] 我说我说股台级别的这种变化
[002367.5-002368.8] 就为什么这么说呢
[002368.8-002370.3] 就是数据支持啊
[002370.3-002373.3] 中正同意今年6月份跌了9097
[002373.3-002374.3] 就洪灵权收益
[002374.3-002377.1] 6月份的这个月收益是9097
[002377.1-002379.6] 负9097说法负的9097
[002379.6-002382.6] 那么如果我们往以看中的红绿的月度收益了
[002382.6-002384.6] 因为红绿是个很老的指数
[002384.6-002388.4] 历史换过去十几年再往前回溯
[002388.4-002391.6] 上一次红绿跌超过九个点
[002391.6-002393.0] 九个点以上什么时候
[002393.0-002394.8] 2016年的1月份
[002394.8-002396.8] 16月份发生的事情大家不知道记不记得
[002396.8-002398.2] 就是怎么做
[002398.2-002400.5] 如果大家从业经验久一点的话
[002400.5-002404.3] 可能都至少从我自己的话是非常想起来
[002404.3-002406.4] 还是觉得非常的感动身受
[002406.4-002408.9] 就那一波是真的是怎么说非常惨烈
[002409.6-002409.9] 对吧
[002410.9-002416.3] 所以再往前除了容大之外再往前红利跌9个电影上是2015年7月份8月份
[002416.5-002418.8] 对吧 大概可能也都记得从6000年掉下来的时候
[002419.5-002419.7] 对吧
[002420.1-002424.7] 所以从红利来讲6月份本身它其实就是一个不再级别的下令
[002425.0-002429.1] 这也解释了为什么今年6月份就是科技能长那么多
[002429.1-002433.7] 因为一方面来讲的话红利的今年前5个月其实整体是相当比较平稳
[002433.7-002435.5] 就没涨 但是也没太低太多
[002435.5-002438.4] 到5月底的时候 红利的外体一大量是两个年左右
[002438.4-002441.6] 对于大多数使用红利的不光是机构还是个人来讲
[002441.6-002443.5] 大家觉得反正可以接受吧
[002443.5-002444.5] 对吧 至少没亏钱
[002444.5-002447.7] 但是农六月份开始 除了那个情况就是加速下跌
[002447.7-002449.5] 我刚刚讲了股灾级别下跌
[002449.5-002452.2] 那么这个下跌的同时
[002452.2-002456.5] 另外一点就是科技所谓小灯在加速上涨
[002456.5-002457.8] 所以这一进一出
[002457.8-002460.7] 很多的机构包括个人投资的台就封不住了
[002460.7-002461.9] 就说卖心态崩掉了
[002461.9-002467.8] 对吧,因为之前本来就没掌,结果后面加速下离
[002467.8-002470.6] 所以这也是解释了为什么6月份的科技能这么强
[002470.6-002474.2] 很多资金就从红利里面出来进了科技
[002474.2-002477.0] 对吧,但是任何事情顾及必反
[002477.0-002480.2] 所以7月份就是随着韩国的这么一个缺帮版
[002480.2-002482.3] 加上每一战争的一个升级
[002482.3-002483.7] 所以就不常过来
[002483.7-002486.1] 所以6月份的7月份本质是个进向
[002486.1-002488.9] 那7月份同样的道理你会发现
[002488.9-002494.8] 赢7月份科状版,因为出来时间比较晚,19年20年之后,对吧,才有科状物理
[002495.1-002502.0] 那么我们如果比较另外一个时间比较久的,再比较创业版,创业版是20年,20年是1年之后就有了
[002502.5-002503.5] 那么创业版
[002503.8-002508.7] 这么多年以来,今年7月份也是基本上是历史上插破第二大结构
[002509.2-002516.3] 他今年7月份跌了23个年,然后上一波跌,比如23多亿是什么时候,就是2016年的1月份,冢断
[002516.6-002518.6] 所以大家会发现,冢断其实是一个
[002518.6-002520.1] 非常非常极端的事情
[002520.1-002523.2] 就是最大的这么一个核心的很多亏词
[002523.2-002524.2] 比18年还要惨
[002524.2-002526.4] 虽然大家觉得好像18年已经很惨
[002526.4-002528.2] 但其实16年1月份内部
[002528.2-002530.2] 只是说16年后面又回来了
[002530.2-002531.8] 所以从整个16年看起来
[002531.8-002532.8] 我想不要这么惨
[002532.8-002533.6] 对吧
[002533.6-002536.4] 那么回到前面您说的问题
[002536.4-002537.6] 就是说其实就是一个问题
[002537.6-002538.8] 就是说第一个
[002538.8-002541.2] 任何事情都是有双面型
[002541.2-002542.6] 那么因为我们的这个策略
[002542.6-002544.2] 本身老百姓带有一定的动量
[002544.2-002546.2] 所以当市场出现动量崩溃
[002546.2-002547.8] 或者一夜之间崩溃的时候
[002547.8-002548.9] 他肯定会有问题
[002548.9-002549.7] 那么说来两个
[002549.7-002550.9] 如果他是比较平华的
[002550.9-002551.6] 就是正常的
[002551.6-002553.5] 比如说每年都有
[002553.5-002554.6] 或是几年一遇的这种
[002554.6-002555.8] 那基本上来讲
[002555.8-002556.8] 不用太点语差
[002556.8-002557.5] 但是呢
[002557.5-002558.4] 你遇到这种
[002558.4-002559.8] 刚才讲的十几年一遇的
[002559.8-002561.5] 或者是说不该几倍的
[002561.5-002563.4] 那么这个时间点
[002563.4-002564.4] 我怎么能理解这个事情呢
[002564.4-002565.5] 就是我觉得
[002565.5-002567.9] 大家也不用太焦虑这个事情
[002567.9-002569.7] 因为我们从重量化的也能来讲
[002569.7-002570.7] 就说当然除了
[002570.7-002571.6] 这个今年7月份
[002571.6-002572.7] 比我低了很多
[002572.7-002574.6] 上一次比如说2014年1月份
[002574.6-002574.8] 对吧
[002574.8-002577.0] 这一次是所有的量化都能下来
[002577.0-002579.3] 但是如果你只是从做量化测量来讲
[002579.3-002580.7] 如果说你为了优化说
[002580.7-002582.6] 我今年七月份少低一点
[002582.6-002587.0] 或者24年1月份我怎么能地面回撤
[002587.0-002588.2] 最后的结果是什么呢
[002588.2-002588.7] 你会发现
[002590.2-002591.5] 如果不是自己骗自己
[002591.5-002593.5] 就是你完全基于这些东西优化
[002593.5-002595.2] 你是可以做出一个测量
[002595.2-002596.2] 回到那个点
[002596.2-002598.0] 你可以少低一点或者少低一点
[002598.0-002599.5] 但是代压是什么
[002599.5-002602.3] 代理是你的长期收益会变得弱很多
[002602.3-002603.3] 大家理解我的意思吗
[002603.3-002605.1] 就是所以量化本身
[002605.1-002610.1] 它这一种大胜率或者高概率赚钱的事情
[002610.1-002614.2] 但是高概率大胜率不意味着没有费钱
[002614.2-002614.8] 换句话来讲
[002614.8-002616.8] 就是我们如果从做策略的角度来讲
[002616.8-002619.5] 当然很多年轻的
[002619.5-002620.7] 很经验没有那么多的量化
[002620.7-002621.9] 所以大家总是希望说
[002621.9-002623.5] 我做出一个完美的策略
[002623.5-002625.1] 然后完美的适配各种策略
[002625.1-002628.1] 然后在极端情况下还少费钱
[002628.1-002629.7] 但是实实求是在讲
[002629.7-002631.1] 这种东西是很难的
[002631.1-002632.5] 或者说甚至说是很
[002632.5-002635.5] 我自己个人我是比较天真的一个想法
[002635.5-002636.3] 因为很简单
[002636.3-002638.3] 你会发现24年1月份也好
[002638.3-002641.8] 虽然结果24年1月份是一个谅话的流动性孤解
[002641.8-002643.6] 尽量6月份7月份同样反过来
[002643.6-002645.5] 它其实就说你又这么大的接触
[002645.5-002647.3] 肯定跟流动性有很大的关系
[002647.3-002651.4] 但是因为每一次实际的成因都不一样
[002651.4-002652.9] 所以我个人认为
[002652.9-002656.9] 下一次比如说明年或者过几年会不会再出现一次
[002656.9-002658.6] 一样的很大级别的一个波动
[002658.6-002660.2] 我觉得是有可能
[002660.2-002665.2] 但是问题在于点在于说你可能没有办法预防 因为他出来的模式肯定跟钱几次会不一样
[002665.6-002669.9] 就如果大家都能预想到的东西 他一般不会发生 反而是因为大家都没想到的
[002670.4-002671.6] 对吧 他可能会发生
[002672.4-002673.1] 对吧 所以呢
[002674.1-002680.3] 就是回到刚才点吧 就是这个这个策略本身肯定是有他的这么一个优点和缺点 就是
[002680.8-002686.5] 但是呢 从我们的角度来讲 就是我们自己做了多年下来发现就是说 这道框架模型
[002686.5-002690.3] 整体对于像八八五你要这种本身波动他的尺寸
[002690.3-002691.5] 可能是个影标
[002691.5-002692.1] 对吧
[002692.1-002693.6] 那如果说你用更
[002693.6-002694.9] 温和一点的
[002694.9-002696.7] 做法去做这个事情的话
[002696.7-002697.6] 可能比如说
[002697.6-002699.5] 的确在他很差的时候
[002699.5-002700.3] 你给好一点
[002700.3-002701.2] 但是呢
[002701.2-002703.6] 像今年这种比较好的行情中
[002703.6-002705.3] 可能你就不太能跟上
[002705.3-002705.9] 对吧
[002705.9-002719.7] 所以就是大概这个意思
[002719.7-002720.4] 行
[002720.4-002722.6] 那要不我就想那个
[002722.6-002740.4] 指头还是想一段
[002744.1-002745.2] 好不用
[002745.2-002745.9] 行
[002745.9-002746.7] 那个下面的话
[002746.7-002751.4] 我给大家再讲一下,可能之前讲的比较少
[002751.4-002754.6] 就是我们的以达这个策略
[002755.6-002758.2] 那么这个策略,我给大家讲一讲它的整个
[002758.2-002761.1] 这个其实我自己个人我是非常有意思的策略
[002761.1-002763.9] 而且市场上我可以就我的理解了
[002763.9-002766.5] 了解同类型的产品其实非常少
[002766.5-002769.5] 而且有建议我们做这个策略已经做了差不多两年了
[002769.5-002775.7] 我相信这个共产党这么早开始做这个策略的应该是就我们一家吧
[002775.7-002777.6] 那么这个策略的宗旨是什么
[002777.6-002780.6] 就是有鉴于前面讲到市场的这个风格轮动
