# 民生加银刘浩交流
# detected_language=zh probability=1.000
# duration_seconds=3806.7

[001431.8-001433.4] 就是那个状态
[001433.4-001434.6] 我明白您的意思
[001434.6-001436.3] 但是您的意思是有些公司
[001436.3-001439.1] 其实他的企业企业的回报
[001439.1-001441.0] 但是不一定会给东南东
[001441.0-001441.7] 对对对
[001441.7-001444.1] 有一个对对对的典型的例子
[001444.1-001456.5] 就是国内这些公司也都是一样
[001456.5-001459.1] 我一直秉持的一个想法就是
[001459.1-001461.5] 其实我最喜欢的是中等的公司
[001461.5-001463.0] 我也不希望投资
[001463.0-001468.1] 我不觉得自己一定能投资到国内的这种极致的公司
[001468.1-001469.8] 我最希望的就是他有多少钱
[001469.8-001471.6] 他能踏踏实实地送出来
[001471.6-001473.4] 给我创造当期的股东回报
[001473.4-001477.0] 我再选择新的这个资金应该怎么去投资
[001477.0-001480.6] 然后其次的话有两类公司
[001480.6-001482.0] 一类呢就是很好
[001482.0-001485.5] 这个公司它持续的它能股东回报
[001485.5-001490.1] 就是它它它它它能做出一些新的增长期
[001490.1-001491.8] 这当然是我求之不得的
[001491.8-001495.0] 但这大概率不是我的能力圈能判断出来的
[001495.0-001498.0] 所以这种公司它基本上它就不是
[001498.0-001501.0] 他就是麒麟起飛持冬物
[001501.0-001505.6] 他就基本上是百倍長二十倍長三十倍起步的
[001505.6-001508.2] 這種公司大概率他長到國共犯主義
[001508.2-001510.2] 一般來說這種公司長到五六倍
[001510.2-001511.4] 我可能就會賣光了
[001511.4-001514.9] 因為後續的增長確實不是能力圈能夠判得出來
[001514.9-001517.1] 我的能力圈能夠判得出來
[001517.1-001519.9] 然後還有一類公司就是真的特別差
[001519.9-001521.9] 他資金就是積累在這樣上
[001521.9-001524.7] 他也不做什麼其他的操作
[001524.7-001527.0] 也就不斷地持續地去北溪
[001527.0-001530.5] 就就就就就导致他的平均资产回报率
[001530.5-001532.1] 从之前一个比较高的位置
[001532.1-001534.5] 刚刚被现金反而拉低了
[001534.5-001536.5] 这种公司其实我也会买的
[001536.5-001539.3] 但是一定要买在有安全编辑
[001539.3-001541.8] 就批避小于一的这种状态之下
[001541.8-001543.2] 我会考虑去哪里
[001543.2-001547.8] 然后来了之后就等着就拿着看着
[001547.8-001550.6] 就是如果不是发生什么真的
[001550.6-001552.2] 这个公司彻底就完蛋了
[001552.2-001554.8] 比如说他公司管理层告诉我
[001554.8-001556.3] 他要去做AI
[001556.3-001559.0] 告诉我他要去去做造车
[001559.0-001560.6] 这些典型的
[001560.6-001564.6] 就是完全把股东回报当做一回事情的这些事情
[001564.6-001566.4] 那我就会把城卖掉
[001566.4-001570.5] 如果不是就接着等等个三四年
[001570.5-001575.3] 明白
[001575.3-001576.6] 那您刚才就是最开始说
[001576.6-001579.9] 您那个比如说二十五的全球资产
[001579.9-001582.0] 然后四十五的那种三十多资产
[001582.0-001583.6] 还有三十的那个
[001583.6-001586.1] 那些就是你说李嘉诚那边的资产
[001586.1-001587.4] 它是一个恒定的比例
[001587.4-001588.2] 还是什么
[001588.2-001590.0] 也會動態的
[001590.0-001591.5] 略微會有一些調整
[001591.5-001595.0] 就是25的全球定價的資源品
[001595.0-001596.4] 這個資產呢
[001596.4-001597.3] 就是之前
[001597.3-001598.9] 就是剛開始建築的時候
[001598.9-001601.3] 其實是30比9的
[001601.3-001603.3] 它是慢慢減下來
[001603.3-001605.0] 因為紐色漲太多了
[001605.0-001605.9] 越漲越減
[001605.9-001607.0] 越漲越減
[001607.0-001608.8] 就是紐色的減
[001608.8-001610.8] 看我上一次其實也講過
[001610.8-001613.0] 就是大部分人滿有色
[001613.0-001616.7] 是看同旅的供需
[001616.7-001620.8] 是看这个黄金的金融属性这个美价的收益率
[001620.8-001622.3] 但是我不是看这些
[001622.3-001627.7] 我看的是中长期的这个这个回报的水平
[001627.7-001632.0] 是不是一个对我来说一个长期可持续的状态
[001632.0-001634.9] 现在的同单尊同的资本排值
[001634.9-001637.2] 是这个1.2
[001637.2-001641.8] 单万尊同是1.2个亿到1.5个亿的资本排值美金
[001641.8-001645.1] 然后单尊单尊的盈利
[001645.1-001648.9] 現在新開的銅礦單純的營運是三千美金
[001648.9-001651.0] 然後如果看老銅礦的
[001651.0-001653.4] 或者其他一些品質較好的新開銅礦
[001653.4-001654.8] 那是七八千美金
[001654.8-001657.8] 所以如果你看新開銅礦品質較好的這塊
[001657.8-001659.7] 大概兩年不到就能回賣
[001659.7-001661.8] 如果你看品質不好的這種
[001661.8-001663.4] 最差的新開銅礦
[001663.4-001665.8] 也基本上四五年的時間
[001665.8-001667.5] 五年時間就可以回賣
[001667.5-001668.3] 所以這對我們來說
[001668.3-001671.2] 顯然不是一個長期可持續的狀態
[001671.2-001673.3] 我也不覺得這個東西可持續
[001673.3-001677.7] 所以这个东西尽管同胖同的公司很多都是10倍
[001677.7-001680.5] 所以我还是一般愿意给它乘个2
[001680.5-001683.6] 但它在回本周期从5年变成10年
[001683.6-001686.3] 我才觉得是一个相对可持续的状态
[001686.3-001688.9] 也就是20倍出头的一个同胖的公司
[001688.9-001691.6] 我觉得现在是一个合理无职
[001691.6-001694.3] 我也确实现在也满着一些
[001694.3-001696.1] 但是不多两三个点
[001696.1-001698.0] 都满满太多
[001698.0-001699.3] 我一直希望它大一点
[001699.3-001708.3] 有色,30%的那个资源品质
[001709.3-001714.3] 上一次说过嘛,就是为什么要玩有色的换成,持有和没它
[001714.3-001723.5] 其实主导的仓位还是在那个深度价值的仓床
[001723.5-001727.5] 就在可能这样可以理解成一半的仓位在哪
[001727.5-001731.5] 我买的其他的方向其实也都是满足身负价值
[001731.5-001734.7] 就是一定要选最便宜的最好的资产
[001734.7-001738.5] 最典型就是就是就是工程机械里面
[001738.5-001741.5] 就是我也一定要选最便宜的最好的
[001741.5-001744.5] 哪怕是没有人听过没有人去研究的
[001744.5-001746.1] 他也不愿意跟市场交流的
[001746.1-001747.5] 隔离什么东西
[001748.5-001752.9] 隔离基础我这两个这几个月慢慢加了一点
[001752.9-001756.1] 就是隔离就属于之前兄弟提到的
[001756.1-001758.2] 普通回報做的比較差
[001758.2-001760.8] 它的現金基在那邊
[001760.8-001767.1] 就是反而拉低了自己的資產回報率
[001767.1-001769.9] 但是它又激起的
[001769.9-001772.1] 它的市值有段時間沒有看
[001772.1-001775.4] 應該是2300億的市值
[001775.4-001779.4] 然後賬上的現金可能不止2500億
[001779.4-001782.0] 上次的現金Napest和榮貴一樣的
[001782.0-001788.6] 年龄最终加起了大概是1600亿到1600亿的mercash
[001788.6-001793.5] 然后一年的自由现金流其实萌碳来看
[001793.5-001796.0] 它现在没有完全到萌碳
[001796.0-001799.6] 我觉得萌碳到200亿问题是不大
[001799.6-001801.4] 那么下滑到200亿
[001801.4-001802.7] 萌到200亿这个水平
[001802.7-001805.5] 之前它最高点应该是到300多亿吧
[001805.5-001808.8] 所以对这样一个资产
[001808.8-001813.2] 你买了持续之后四年左右时间回本
[001813.2-001817.0] 然后上下还有一堆获有的权益
[001817.0-001819.0] 获有的资金
[001819.0-001822.0] 所以我觉得这个时候可以买
[001822.0-001824.4] 但是性价比不如美币
[001824.4-001826.6] 还是不美币 还是有美币
[001826.6-001828.4] 其实你一直有
[001828.4-001832.8] 就是他的成价是会好很多
[001832.8-001834.0] 成币是属于
[001834.0-001836.6] 就是刚才这个兄弟讲到的那个
[001836.6-001838.4] 我们讨论过这两个票是吧
[001838.4-001841.4] 没有,只讨论一下是孙红还是纽线经流队
[001841.4-001842.0] 这感觉
[001842.0-001842.6] 对
[001842.6-001846.4] 就是提到的就是有的公司院有的公司经营得好
[001846.4-001847.6] 有的公司经营得不好
[001847.6-001851.8] 得力就是处于可能接近那种经营的不好的公司
[001851.8-001857.0] 美定的它就是处于那种最好的一档和中间一档之间的公司
[001857.0-001859.6] 它之所以只能处于中间
[001859.6-001862.8] 是因为它的管理层其实非常的优秀
[001862.8-001864.4] 因为如果跟它接触过
[001864.4-001867.0] 我發現他很多思想都是站在
[001867.0-001870.2] 就我很喜歡站在全球的視角
[001870.2-001872.0] 站在長時間軌度
[001872.0-001875.1] 一百兩百年的產業視角去看
[001875.1-001878.5] 他就是在這個角度很談判很真誠
[001878.5-001881.2] 包括大家要問他小米對他的競爭
[001881.2-001885.4] 他其實回答的他不是說他覺得小米進來肯定做不成
[001885.4-001889.8] 這些站在就是拿著鎚子找釘子的回答
[001889.8-001893.0] 他都是真的是站在產業鏈的角度
[001893.0-001896.2] 小米进来对于这个普通回报
[001896.2-001897.6] 对于小米的普通回报
[001897.6-001899.1] 对于小米要做的事情
[001899.1-001900.4] 对于小米要专注的事情
[001900.4-001901.9] 是不是一个好事情
[001901.9-001904.0] 他讲的比我讲的要
[001904.0-001906.3] 我感觉要清楚很多
[001906.3-001908.5] 然后他之所以还是没有把他
[001908.5-001909.7] 后来最特本的一档
[001909.7-001911.9] 是因为他的生意
[001911.9-001914.7] 确实是太传统的一个生意了
[001914.7-001916.6] 同志化太强的一个生意了
[001916.6-001918.2] 小家店
[001918.2-001923.8] 就是特别就是特别卷的一个行业主营的生意
[001923.8-001926.7] 他很难拉开明显的一个差异方
[001926.7-001929.6] 但是他就是市场化这块做的特别的好
[001929.6-001931.8] 而且不值得也特别的便宜
[001931.8-001936.0] 不比不比不比隔离贵太多
[001936.0-001938.6] 我这个怎么比
[001938.6-001942.5] 就是刚才我说了隔离是就是就是市值里面
[001942.5-001945.0] 如果做一个拆分大概是1500亿的现金
[001945.0-001948.5] 加上一个四年的自由现金流就可以汇报
[001948.5-001951.5] 然后美地它是六千多亿的市值
[001951.5-001954.6] 它账上的Netcast大概是三千亿不报
[001954.6-001957.7] 然后它一年的自由现金流大概是六百亿
[001957.7-001959.3] 六百亿的自由现金流里面
[001959.3-001961.3] 一半是在国内一半来做海外
[001961.3-001962.9] 三百亿国内三百亿海外
[001962.9-001964.9] 海外这块它的施战率
[001964.9-001966.3] 它主要做代工
[001966.3-001968.0] 它的施战率还非常的低
[001968.0-001970.0] 它就是五到十个点的施战率
[001970.0-001971.3] 每年它自己制定
[001971.3-001972.7] 感觉是十个政府
[001972.7-001974.3] 长期来它是没有问题的
[001974.3-001978.3] 所以這個三十三百億的究竟金額給了15倍的聲音率
[001978.3-001980.3] 不只是問題不大
[001980.3-001982.3] 剩下三百億的究竟金額有國內最快
[001982.3-001985.3] 三百萬說周期性就比較明顯了
[001985.3-001988.3] 因為它百分之六十是這個風橋
[001988.3-001990.3] 百分之三十是小家電
[001990.3-001993.3] 然後還有百分之可能二十左右
[001993.3-001997.3] 就是就是就是就是一些什麼
[001997.3-002001.3] 這個必端的這個樓宇啊
[002001.3-002003.3] 這個智能啊工業機器啊等等的
[002003.3-002006.9] 所以國內這塊就只能給8倍左右
[002006.9-002007.9] 8到10倍
[002007.9-002011.9] 就總體來說給個12倍左右
[002011.9-002014.3] 所以企業價值給到8000億左右
[002014.3-002016.3] 然後再加上3000億不到的現金
[002016.3-002018.1] 就是1.1萬的市值
[002018.1-002019.3] 1.1萬市值的話
[002019.3-002023.1] 你還要折現回去考慮一個折線率
[002023.1-002025.3] 可能7、8個點6、7個點的折線率
[002025.3-002028.3] 最後算起來大概是9000億左右的事實
[002028.3-002029.3] 我覺得對我來說
[002029.3-002030.9] 現在這個位置是比較合理的
[002030.9-002033.3] 那6000多亿我现在还是继续拿着
[002033.3-002034.3] 9000亿
[002034.3-002036.5] 现在6500亿
[002037.5-002039.1] 那还好
[002039.1-002040.5] 它有火大的空间
[002040.5-002041.5] 对
[002041.5-002043.5] 所以就是每一种标题
[002043.5-002046.4] 在你们下纸投资者的角度
[002046.4-002052.4] 其实是个弹性很大的一个表别
[002052.4-002054.8] 大部分人觉得它弹性不大
[002054.8-002056.2] 但是它的确定性
[002056.2-002058.2] 你按照这个估值来算
[002058.2-002060.0] 但是我觉得它的确定性高
[002060.0-002062.7] 所以我才會把它拿到
[002062.7-002066.1] 因為大伙伴的價值投資者
[002066.1-002071.0] 其實他算戶值毛的時候
[002071.0-002072.8] 他是按照歷史中樞的股值毛
[002072.8-002075.8] 如果你按照歷史中樞的股值毛的話
[002075.8-002078.9] 每地他的PE range
[002078.9-002082.0] 他是在歷史中樞偏上一邊的位置
[002082.0-002084.8] 在價值部裡面現在普遍在中樞偏下
[002084.8-002086.3] 那其實不算便宜
[002086.3-002089.4] 但是我對於這個空間是生意無視的理解
[002089.4-002092.4] 我就自己去給他一套絕對的固執帽
[002092.4-002094.4] 對固執帽就是我理想上的
[002094.4-002096.4] 我覺得應該是個狀態
[002096.4-002107.4] 就像是2016年那時候你去買蘋果也是一樣
[002107.4-002110.4] 他當時的也是處在一個
[002110.4-002113.4] 就是你對他未來生意模式的判斷
[002113.4-002116.4] 會很大的影響他的價值到底是多少
[002116.4-002120.1] 也就是你這個時候你要對他未來賦予一個故事
[002120.1-002123.3] 這故事嘛取決於你對聲音老師的判斷
[002123.3-002124.7] 這是一個絕對值
[002124.7-002125.9] 不是一個相對值
[002125.9-002127.3] 不是一個歷史值
[002133.0-002137.4] 所以其實您這邊相對比市場會更樂觀一些
[002137.4-002137.8] 對
[002137.8-002138.7] 就更樂觀
[002138.7-002139.7] 這個表弟
[002141.5-002143.8] 而且他在全球也沒有什麼競爭品
[002143.8-002145.7] 這種就是我喜歡的
[002145.7-002146.6] 太多了
[002146.6-002148.7] 至於其他人都不願意做了
[002148.7-002152.1] 而且现在中国还有那么一段时间能让他
[002152.8-002155.4] 济漏又赚钱的继续下去
[002155.6-002157.4] 我就更愿意表达
[002157.7-002159.5] 就是就是就是
[002159.7-002160.8] 嗯就是
[002161.3-002162.8] 句话里面有句话叫
[002164.8-002166.4] 地位先不可
[002166.9-002167.7] 赦而战
[002168.2-002169.2] 就是你要先
[002169.5-002170.2] 找到
[002170.7-002172.3] 就是就是就是
[002172.5-002174.3] 不会失败的那种
[002174.6-002175.3] 方式
[002175.9-002178.4] 找到那个一个相对较好的对手
[002178.4-002181.5] 就是你再去跟他竞争
[002181.5-002183.1] 再去做这件事情
[002183.1-002186.5] 那你大概你就不会失败
[002186.5-002187.9] 你要先利于不败之地
[002187.9-002189.9] 你再去找胜机
[002189.9-002197.1] 大概的胜机才比较大
[002197.1-002197.9] 我请教一个
[002197.9-002200.0] 您之前应该是赚我钱的票
[002200.0-002201.5] 就是二五年
[002201.5-002202.8] 您是不是买过私员电器
[002202.8-002203.8] 要看您是什么
[002203.8-002206.2] 他好像是当时这个
[002206.2-002207.4] 好像我看就是
[002207.4-002208.9] 我真是因为第一次交流我不在
[002208.9-002210.8] 不了解您具体投入框架
[002210.8-002212.6] 然后我这次听下来
[002212.6-002218.3] 感觉他好像就是他也不属于那种也不属于会分红
[002218.3-002221.6] 也不是属于那种行业好像也不是特别的
[002221.6-002223.6] 就是就是也比较卷吧
[002223.6-002225.4] 那个那个他们那个行业
[002225.4-002230.5] 然后这个您当时这个这个当时的想怎么做这个判断
[002230.5-002235.6] 他其实就是属于就是当时我反而说是很便宜的一个表演
[002235.6-002238.8] 他是有一个相对比较绝对固执保护
[002238.8-002240.5] 然后二十倍到二十倍
[002240.5-002243.5] 但是也是一个这个整个光浮
[002243.5-002245.6] 那边其实也是一个不断下修
[002245.6-002247.6] 他不是做光浮那件事吧
[002247.6-002249.1] 他做的东西是
[002250.7-002254.2] 就是就是很多的这种保护基地保护啊
[002254.2-002257.8] 然后这个依次设备发展设备二次设备啊
[002257.8-002261.0] 这些他其实是做一个电源测的
[002261.0-002263.1] 这个各种各样的设备
[002264.1-002266.7] 然后他好的地方在于公司治理
[002266.7-002268.8] 确实非常非常的优秀
[002268.8-002270.8] 你看那个电
[002270.8-002273.4] 呃就是因为我是看
[002273.4-002275.8] 我是看那个电力设备起家
[002275.8-002278.3] 所以啊您是看电力设备
[002278.3-002308.3] 对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对
[002308.3-002312.5] 他一直以来他的盈利增长的中书
[002312.5-002314.2] 你看过去十五年
[002314.2-002316.1] 他都是百分之二十以上
[002316.1-002318.4] 我的时候甚至能到百分之二十五
[002318.4-002319.6] 然后还有一点
[002319.6-002321.4] 其实那个时候买四元
[002321.4-002323.5] 就是还基于一件事
[002323.5-002325.8] 当时特别看好海外
[002325.8-002328.5] 四元的海外已经开始做出来了
[002328.5-002332.4] 二五年年中开始买四元的时候
[002332.4-002336.0] 四元的海外的订单占比
[002336.0-002337.8] 已经占到全部订单占比的
[002337.8-002338.8] 百分之六十
[002338.8-002342.9] 然后而且在绝对有百分之六十的情况下
[002342.9-002346.5] 他的增速还能有百分之五十以上的增速
[002346.5-002349.6] 而且基本上每个月都能deliver这个增速
[002349.6-002351.3] 所以是相当相当强的
[002351.3-002356.0] 之前参加过那个扎党的那个内部的交流
[002356.0-002358.0] 扎党就把资源请过来
[002358.0-002362.1] 你聊下来之后你会发现资源确实真的在东南亚做的事情
[002362.1-002364.9] 在在在那个北约做的事情
[002364.9-002367.5] 真的比其他公司做得多很多很多
[002367.5-002370.0] 它是实际实际在待在各时期
[002370.0-002371.8] 所以在这种情况下
[002371.8-002374.9] 私员这样一个标的
[002374.9-002377.7] 20-25倍的市营率
[002377.7-002381.6] 年化过去15%-20%以上的增长
[002381.6-002384.1] 未来因为海外的缺本
[002384.1-002386.7] 大概给我们做到10%以上的增长
[002386.7-002391.0] 当时其实还没有什么AIR或者NICR这个驱动
[002391.0-002394.1] 其实我买它直接从来都是根据AIR的数据
[002394.1-002395.5] AIDC掌起来之后
[002395.5-002396.9] 我就慢慢把它卖掉了
[002396.9-002399.4] 我看中的就是它还要一个应该交付
[002399.4-002402.6] deliver能力每年50%以上
[002402.6-002405.1] 所以当时肯定可以买
[002405.1-002406.4] 然后买完之后
[002406.4-002409.8] 它的补家一下子上得太快
[002409.8-002413.3] 一下子到了40倍到50倍的适应
[002413.3-002415.1] 那个时候就不是我舒服的位置
[002415.1-002416.0] 就是我要卖掉
[002416.0-002417.3] 因为我不会给
[002417.3-002418.9] 我的公司体系从来不会给
[002418.9-002422.3] 它是AIDC还是普通的免费设备
[002422.3-002423.6] 一个分别的补家
[002423.6-002425.5] 如果你给ARDC太高的一个物质
[002425.5-002427.0] OK那我不玩了
[002427.0-002427.8] 我就不跟你玩了
[002427.8-002429.9] 我觉得所有占的钱都是同样的
[002429.9-002431.2] 一块钱就是一块钱
[002431.2-002434.1] 所以同样生意模式的一块钱
[002434.1-002437.5] 它值得布置倍数是一样的
[002437.5-002438.9] 就是我开汽车的时候
[002438.9-002440.4] 还有一个很典型的例子
[002440.4-002444.1] 就是大家很喜欢给电车高物质
[002444.1-002445.2] 就是电车做的好的
[002445.2-002446.4] 大家很喜欢给高物质
[002446.4-002448.8] 但是我是天然是反对着一点的
[002448.8-002450.5] 我觉得电车的这个生意模式
[002450.5-002452.6] 天然比游车来的差
[002452.6-002456.0] 如果必問一個在游車的時代
[002456.0-002458.8] 一個在做電車的和電車的時代
[002458.8-002462.7] 游車時代的這個游車好的公司
[002462.7-002465.0] 只能享受到的固執
[002465.0-002469.9] 肯定要比電車時代電車好的公司要更高
[002469.9-002473.3] 因為電車它的農耗它更鬆散
[002473.3-002474.6] 更離散了
[002474.6-002477.1] 你做的更多的是一個組裝的貨
[002477.1-002481.6] 你的品牌其實品牌調性一下子就會被逆轉
[002481.6-002486.7] 它不是一个长期的可以产生负利的专业价
[002486.7-002494.5] 所以我很不喜欢这些市场绝对比较贵的东西
[002494.5-002498.2] 这不是我特别特别的
[002498.2-002500.9] 那今年店里设备这些杀物质视野
[002500.9-002503.1] 是因为海外的一些风险
[002503.1-002505.1] 包括增速可能也没法保持
[002505.1-002505.9] 对
[002505.9-002510.7] 今年就是紧急度层面的编辑的下行
[002510.7-002514.7] 就是当时采购LEDC多采购了一点
[002514.7-002516.9] 现在应该没有那么多了
[002516.9-002520.8] 然后当时美国对中国的这个限制没这么多
[002520.8-002524.3] 然后所以所有人都与其美国一个非常大的量
[002524.3-002526.7] 现在又有各种各样的限制了
[002526.7-002531.6] 然后而且最关键的一点是这个AI也在输圈
[002531.6-002534.2] 然后流动流动性层面也导致
[002534.2-002536.7] 其实说来说去其实这一点就是贵的
[002536.7-002538.1] 就是这么多钱
[002538.1-002540.5] 那时候不止当时判断了这么多钱
[002545.4-002549.2] 但是像思源和其他
[002549.6-002551.2] 对他就是不一样的东西
[002551.2-002552.2] 对不一样
[002552.2-002553.9] 你其实看的还是
[002554.5-002556.8] 看得他偏短一点是不是
[002557.0-002558.3] 比较偏短一点
[002559.4-002561.8] 思源我是长期看好这个票
[002562.0-002565.8] 但是他必须要在一个有安逸和合适的位置
[002566.0-002566.8] 我去买
[002566.8-002569.6] 对我来说可能就是二十倍或者二十倍
[002569.6-002573.6] 他做的业务禁闭里搞什么
[002573.6-002577.6] 这个东西并不是说谁
[002577.6-002579.6] 其他人没有办法做
[002579.6-002584.6] 但是他建立在一个很强的工程师优势的基础上
[002584.6-002588.6] 他这个产品他需要有很强的安全性的要求
[002588.6-002592.6] 所以需要次元的工程师和最高的工程师
[002592.6-002596.6] 反复地去就一个产品去做协商
[002596.6-002598.6] 然后去做售货的保障
[002598.6-002601.1] 然后私员在整个销售体系当中
[002601.1-002602.4] 他要面对不同市场
[002602.4-002603.8] 不同的电压体系
[002603.8-002605.0] 不同的电流体系
[002605.0-002606.5] 不同的法律反规
[002606.5-002608.0] 去做出修正
[002608.0-002608.9] 这都是国企
[002608.9-002610.3] 没有办法做的一个事情
[002610.3-002614.2] 而且更何况国企其实在出海过程中
[002614.2-002616.6] 特别是在二级时代的出海过程中
[002616.6-002622.4] 还会面临非常多的监管上面的限制
[002622.4-002625.7] 他就盼你背后把他总察给挂了
[002625.7-002626.9] 因为是国企
[002626.9-002628.9] 自然就快相对好一些
[002630.4-002634.4] 自然一直以来都是最好的电力设备公司
[002634.4-002636.4] 你看最好的体现在哪里
[002636.4-002638.4] 就是体现在刚才说的最好的公司
[002638.4-002640.4] 它总能不断的后圈
[002640.4-002642.4] 自然就是在不断的后圈
[002642.4-002644.4] 它最初只做一次设备
[002644.4-002649.9] 像什么发电的机电保护
[002649.9-002658.7] 然后还有发电站里面的一些开关键
[002658.7-002660.2] 就是做一次室碑里面
[002660.2-002661.4] 其实它一次室碑
[002661.4-002663.9] 但后来慢慢的它突然的二次室碑
[002663.9-002666.0] 把那个国电南瑞的名份额
[002666.0-002668.5] 在海外的份额也强调了不少
[002668.5-002672.6] 所以它确实是一个水平很高的公司
[002672.6-002675.3] 是全球竞争力都很强的
[002675.3-002677.4] 对
[002677.4-002680.8] 他既然唯一的问题就不是贵了
[002680.8-002683.0] 包括现在他跌了很多
[002683.0-002684.2] 我也蛮开心的
[002684.2-002687.0] 我一直在等他跌到我舒服的位置
[002687.0-002688.8] 可能8900亿吧
[002688.8-002689.8] 我就是在
[002689.8-002690.8] 现在1000亿
[002690.8-002691.3] 对
[002691.3-002692.3] 1000亿
[002692.3-002695.8] 当前两天不是出的那个阳光那个事
[002695.8-002697.8] 又又又又拉里不
[002697.8-002699.5] 我去年11 12月份
[002699.5-002701.5] 完全把这个票卖光了
[002701.5-002703.7] 就是就是就是
[002703.7-002706.5] 当时应该是1000多亿1100亿
[002706.5-002708.9] 后来最高的时候讲到1400亿左右
[002709.3-002712.1] 那就强烂烂的就爆裂的那个位置
[002712.2-002714.8] 对 没有办法判断的
[002714.9-002717.0] 就是只能说那个位置
[002717.3-002721.7] 我觉得它比较对我来说空间没有那么大
[002725.1-002726.6] 就你这边的这个投资
[002726.6-002730.4] 比如说像宁德的属于思源电器这种类型的
[002730.6-002733.3] 宁德也是属于就是
[002733.4-002736.4] 但是宁德也是属于公司治理
[002736.4-002743.8] 产业链地位 包括产品的形态 摄影模式都挺好
[002743.8-002745.8] 至少是中等天上的一个状态
[002745.8-002748.3] 产业链地位比次元要高很多
[002748.3-002750.8] 但是宁德的最大的问题就是
[002750.8-002754.8] 其实次元之前关注度其实是不高的
[002754.8-002758.3] 只有我们这些电力设备的保营六元
[002758.3-002760.3] 很喜欢这个票 很认得这个票
[002760.3-002764.9] 所以他的估值的溢价没有特别的多
[002764.9-002768.7] 明德属一个式的年纪经纪码都研究过了
[002768.7-002769.7] 太白了对吧
[002769.7-002771.9] 所以这种白的票有一个大问题
[002771.9-002774.1] 就是说国内的资金是过剩的
[002774.1-002778.4] 一般会把这种白票炒的就是最乐观的人定价
[002778.4-002779.4] 明德也是一样
[002779.4-002781.1] 我一直很看望明德
[002781.1-002784.2] 但我一直给明德的租值就是1.4亿
[002784.2-002785.7] 1.4万亿
[002785.7-002789.4] 这个1.4万亿这个赤值
[002789.4-002791.6] 所以他一直很难到我这个赤值
[002791.6-002793.2] 1.3 1.4万亿
[002793.2-002796.6] 所以就一直蠻屌的
[002796.6-002798.2] 一直蠻屌的
[002798.2-002801.0] 这两天电话也有一点四了
[002801.0-002804.0] 对 所以我一直在关注着
[002804.0-002807.8] 之前在这部《掌》之前是不是也跌倒了
[002807.8-002808.6] 掌跌倒过
[002808.6-002812.0] 最低的时候跌倒过七千多亿
[002812.0-002813.4] 七千多亿世子
[002813.4-002816.4] 那个是在二零二十四年
[002816.4-002817.4] 二三年
[002817.4-002820.0] 就二三二十四年一直跌
[002820.0-002824.5] 那时候是你还没有接传递是吧
[002824.5-002825.5] 那时候还没有接
[002825.5-002828.5] 那时候还挺便宜的了
[002828.5-002830.5] 但是那个时候放过来说
[002830.5-002832.5] 那个时候所有东西都便宜
[002832.5-002834.5] 结果买的其他的东西收益率
[002834.5-002838.0] 不过买的到现在收益率跟您的差不了太多
[002838.0-002840.5] 是所以大家会把您的当作一个标分
[002840.5-002842.5] 是因为您的体量太大
[002842.5-002845.5] 你买它能买足够量
[002845.5-002847.5] 但是对于我们这种产品来说
[002847.5-002849.0] 买什么都能买足够量
[002849.0-002851.4] 所以只要足够平,足够有新产品
[002851.4-002852.8] 对吧,所以都一次
[002852.8-002856.4] 你终长一下手预期回报是多少啊,觉得要
[002856.4-002860.6] 嗯,就是我,我,我会有两个点
[002860.6-002863.2] 就是,首先,他必须要预期回报
[002863.2-002866.4] 对我来说是,嗯,我能算出来在
[002866.4-002870.2] 就是,未来这个五年的维度
[002870.2-002874.2] 能看到,至少要有百分之四十以上的空间
[002874.2-002875.8] 四十以上的空间
[002875.8-002882.4] 因為年化可能要7、8碼的範圍
[002882.4-002886.4] 因為如果年化的算數的空間太小
[002886.4-002888.2] 因為略小一點
[002888.2-002891.7] 其實這個誤差的影響就很大了
[002891.7-002894.2] 因為你對股票的估值誤差的時期
[002894.2-002896.7] 二十個年是很正常的一個事情
[002896.7-002897.8] 現在這個標準
[002897.8-002900.1] 這些標準有感覺年化的7、8
[002900.1-002903.1] 有點太保守了
[002903.1-002904.2] 有點保守嗎
[002904.2-002906.1] 他不敢接近保守的
[002906.1-002908.7] 像股息率跟加回購
[002908.7-002910.0] 比如說剛才舉個例子
[002910.0-002912.2] 像加打0百的時候就12嘛
[002912.2-002912.8] 對
[002912.8-002915.9] 但是其實是這樣子
[002915.9-002917.4] 股息加回購
[002917.4-002918.4] 它之所以有價值
[002918.4-002920.5] 就是因為它有股息有回購
[002920.5-002922.0] 如果沒有股息沒有回購
[002922.0-002922.7] 永遠沒有股息
[002922.7-002924.0] 永遠沒有回購
[002924.0-002925.9] 股票加進去就是
[002925.9-002929.1] 所以我對股票金估值的
[002929.1-002931.3] 同時其實就是把股息和回購
